feature,importance,importance_pct
state_avg_volume,1049,17.55
days_since_start,899,15.04
rolling_std_7,803,13.43
rolling_mean_7,730,12.21
days_to_black_friday,496,8.3
day_of_week,494,8.27
lag_14,414,6.93
days_to_dia_dos_namorados,395,6.61
year_progress,340,5.69
lag_7,167,2.79
is_weekend,79,1.32
month,46,0.77
volume_tier,35,0.59
is_month_start,8,0.13
is_business_day,7,0.12
is_month_end,6,0.1
is_dia_dos_namorados_window,5,0.08
is_black_friday_window,4,0.07
is_sunday,0,0.0
is_post_black_friday_peak,0,0.0
is_post_dia_dos_namorados_peak,0,0.0
is_holiday,0,0.0
is_saturday,0,0.0
